question,distractor_type,meteor_score,semantic_similarity,grammar_score,diversity_score,subject
Which of the following is NOT one of Freud's psychosexual stages of development?,plausible_alternatives,0.4791666666666667,0.5901245,1.0,0.6405051125423503,high_school_psychology
Which of the following is NOT a principle of object-oriented programming?,plausible_alternatives,0.0,0.29336226,1.0,0.6489843023305742,college_computer_science
Under what circumstances can a private citizen legally use deadly force against another person?,plausible_alternatives,0.04416754416754417,0.40981427,1.0,0.40088317401122503,professional_law
"A patient presents with elevated blood pressure, headache, and dizziness. The most appropriate initial diagnostic test would be:",plausible_alternatives,0.0,0.28724635,1.0,0.6925877658746015,professional_medicine
Which of the following is the most common cause of community-acquired pneumonia?,plausible_alternatives,0.3958333333333333,0.6186597,1.0,0.588987561441133,professional_medicine
What is the primary role of fiber in the diet?,plausible_alternatives,0.052083333333333336,0.23411988,1.0,0.7171697402232108,nutrition
An object with mass m is moving with velocity v. What is its kinetic energy?,plausible_alternatives,0.16666666666666666,0.7047799,0.5,0.5644182583844645,high_school_physics
A plaintiff brings a products liability action against the manufacturer of a lawnmower. The plaintiff was injured while using the lawnmower when his foot slipped under the mower. The plaintiff's expert witness testifies that the blade guard was of a type that was more dangerous than alternative designs. The defendant's expert testifies that the blade guard was designed in accordance with government safety regulations. The jury should find for whom?,plausible_alternatives,0.24750921809904955,0.6462405,1.0,0.28193210613155845,professional_law
What is the primary function of mitochondria in a cell?,plausible_alternatives,0.14918334483551873,0.5329793,1.0,0.7293133552713552,high_school_biology
Which of the following is NOT involved in photosynthesis?,plausible_alternatives,0.0,0.39800918,0.8333333333333334,0.6908314635002948,high_school_biology
Which philosopher is associated with the concept of the 'social contract'?,plausible_alternatives,0.0,0.33690986,1.0,0.6743839973222009,philosophy
Which of the following is NOT a water-soluble vitamin?,plausible_alternatives,0.4791666666666667,0.8134386,1.0,0.3808274505976672,nutrition
"If f(x) = 3x² - 2x + 5, what is f'(x)?",plausible_alternatives,0.2638888888888889,0.71894526,1.0,0.38417155705599465,high_school_mathematics
What is the time complexity of the quicksort algorithm in the average case?,plausible_alternatives,0.3125,0.82858723,0.8333333333333334,0.2694431270240985,college_computer_science
What is the solution to the system of equations: 2x + y = 5 and x - y = 1?,plausible_alternatives,0.8175617283950617,0.82267326,0.5,0.2653453080167587,high_school_mathematics
Which of the following is Newton's Second Law of Motion?,plausible_alternatives,0.05142869113457349,0.37071204,1.0,0.7176021420064238,high_school_physics
Who was the first Emperor of China?,plausible_alternatives,0.0,0.3551289,0.8333333333333334,0.6737088369993046,high_school_world_history
The Treaty of Versailles was signed at the end of which war?,plausible_alternatives,0.7397910731244065,0.8350315,1.0,0.4706746714433075,high_school_world_history
What is the recency effect in memory?,plausible_alternatives,0.5094146484679029,0.69740766,1.0,0.1803803071780449,high_school_psychology
"According to Kant's categorical imperative, one should:",plausible_alternatives,0.0651253663301856,0.43377364,1.0,0.608154475702864,philosophy
Who was the first Emperor of China?,plausible_alternatives,0.3125,0.5518307,0.8333333333333334,0.6498298598616369,high_school_world_history
An object with mass m is moving with velocity v. What is its kinetic energy?,plausible_alternatives,0.0,0.52620906,0.5,0.5300546670681862,high_school_physics
